,drift_type,strength,length,window,step,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular,fp_rate_regular,strength_mag,drift_name
57,3,"(0.1, 0.2)","(0.1, 0.2)",2160,24,1,0,15,22,1,0,87,3328,15,0.15000000000000002,Incremental
58,3,"(0.1, 0.2)","(0.1, 0.2)",2160,168,1,0,4,22,1,0,9,3376,4,0.15000000000000002,Incremental
59,3,"(0.1, 0.2)","(0.1, 0.2)",2160,720,1,0,1,7702,1,0,3,3376,1,0.15000000000000002,Incremental
60,3,"(0.3, 0.5)","(0.05, 0.1)",168,24,1,0,37,10,1,0,146,2188,37,0.4,Incremental
61,3,"(0.3, 0.5)","(0.05, 0.1)",720,24,1,0,11,22,1,0,134,2008,11,0.4,Incremental
62,3,"(0.3, 0.5)","(0.05, 0.1)",720,168,1,0,1,46,1,0,21,2056,1,0.4,Incremental
63,3,"(0.3, 0.5)","(0.05, 0.1)",2160,24,1,0,14,22,1,0,87,1408,14,0.4,Incremental
64,3,"(0.3, 0.5)","(0.05, 0.1)",2160,168,1,0,4,22,1,0,9,1528,4,0.4,Incremental
65,3,"(0.3, 0.5)","(0.05, 0.1)",2160,720,1,0,1,1942,1,0,3,1936,1,0.4,Incremental
66,3,"(0.3, 0.5)","(0.1, 0.2)",168,24,1,0,37,10,1,0,146,2980,37,0.4,Incremental
67,3,"(0.3, 0.5)","(0.1, 0.2)",720,24,1,0,11,22,1,0,134,2800,11,0.4,Incremental
68,3,"(0.3, 0.5)","(0.1, 0.2)",720,168,1,0,1,46,1,0,21,2896,1,0.4,Incremental
69,3,"(0.3, 0.5)","(0.1, 0.2)",2160,24,1,0,14,22,1,0,87,2488,14,0.4,Incremental
70,3,"(0.3, 0.5)","(0.1, 0.2)",2160,168,1,0,4,22,1,0,9,2536,4,0.4,Incremental
71,3,"(0.3, 0.5)","(0.1, 0.2)",2160,720,1,0,1,4102,1,0,3,2656,1,0.4,Incremental
