,drift_type,strength,length,window,step,seed,tp_regular,fn_regular,fp_regular,delay_regular,tp_irregular,fn_irregular,fp_irregular,delay_irregular
116,1,1.0,"(0.1, 0.4)",2160,720,1,1,0,2,391.0,1,0,2,1040.0
117,1,1.0,"(0.1, 0.4)",2160,720,2,1,0,2,462.0,1,0,2,832.0
118,1,1.0,"(0.1, 0.4)",2160,720,3,1,0,2,857.0,1,0,2,977.0
119,1,1.0,"(0.1, 0.4)",2160,720,4,1,0,2,1024.0,1,0,4,777.0
120,2,0.25,"(0.1, 0.4)",168,24,0,0,1,0,,1,0,3,3642.0
121,2,0.25,"(0.1, 0.4)",168,24,1,0,1,0,,1,0,3,10064.0
122,2,0.25,"(0.1, 0.4)",168,24,2,0,1,0,,1,0,3,5320.0
123,2,0.25,"(0.1, 0.4)",168,24,3,0,1,0,,1,0,3,3545.0
124,2,0.25,"(0.1, 0.4)",168,24,4,0,1,0,,1,0,3,5481.0
125,2,0.25,"(0.1, 0.4)",720,24,0,1,0,7,85.0,1,0,3,426.0
126,2,0.25,"(0.1, 0.4)",720,24,1,1,0,6,17263.0,1,0,2,9056.0
127,2,0.25,"(0.1, 0.4)",720,24,2,1,0,6,16614.0,1,0,2,7960.0
128,2,0.25,"(0.1, 0.4)",720,24,3,1,0,7,12689.0,1,0,3,329.0
129,2,0.25,"(0.1, 0.4)",720,24,4,0,1,23,,0,1,44,
130,2,0.25,"(0.1, 0.4)",720,168,0,0,1,0,,1,0,0,6522.0
131,2,0.25,"(0.1, 0.4)",720,168,1,0,1,0,,1,0,0,9272.0
132,2,0.25,"(0.1, 0.4)",720,168,2,0,1,0,,1,0,0,8176.0
133,2,0.25,"(0.1, 0.4)",720,168,3,0,1,0,,1,0,0,6425.0
134,2,0.25,"(0.1, 0.4)",720,168,4,0,1,1,,0,1,5,
135,2,0.25,"(0.1, 0.4)",2160,24,0,1,0,5,19453.0,1,0,0,3354.0
136,2,0.25,"(0.1, 0.4)",2160,24,1,1,0,0,23959.0,0,1,0,
137,2,0.25,"(0.1, 0.4)",2160,24,2,1,0,0,23310.0,0,1,0,
138,2,0.25,"(0.1, 0.4)",2160,24,3,1,0,5,19385.0,1,0,0,3257.0
139,2,0.25,"(0.1, 0.4)",2160,24,4,0,1,10,,0,1,44,
140,2,0.25,"(0.1, 0.4)",2160,168,0,0,1,1,,1,0,0,3498.0
141,2,0.25,"(0.1, 0.4)",2160,168,1,0,1,0,,0,1,0,
142,2,0.25,"(0.1, 0.4)",2160,168,2,0,1,0,,0,1,0,
143,2,0.25,"(0.1, 0.4)",2160,168,3,0,1,1,,1,0,0,3401.0
144,2,0.25,"(0.1, 0.4)",2160,168,4,0,1,1,,0,1,5,
145,2,0.25,"(0.1, 0.4)",2160,720,0,0,1,0,,0,1,0,
146,2,0.25,"(0.1, 0.4)",2160,720,1,0,1,0,,0,1,0,
147,2,0.25,"(0.1, 0.4)",2160,720,2,0,1,0,,0,1,0,
148,2,0.25,"(0.1, 0.4)",2160,720,3,0,1,0,,0,1,0,
149,2,0.25,"(0.1, 0.4)",2160,720,4,0,1,0,,0,1,2,
150,2,0.5,"(0.1, 0.4)",168,24,0,1,0,0,13549.0,1,0,3,3642.0
151,2,0.5,"(0.1, 0.4)",168,24,1,1,0,0,10375.0,1,0,3,10064.0
152,2,0.5,"(0.1, 0.4)",168,24,2,1,0,0,4494.0,1,0,3,5296.0
153,2,0.5,"(0.1, 0.4)",168,24,3,1,0,0,13481.0,1,0,3,3545.0
154,2,0.5,"(0.1, 0.4)",168,24,4,1,0,0,11296.0,1,0,3,5457.0
155,2,0.5,"(0.1, 0.4)",720,24,0,1,0,6,21709.0,1,0,3,666.0
156,2,0.5,"(0.1, 0.4)",720,24,1,1,0,4,17239.0,1,0,2,8912.0
157,2,0.5,"(0.1, 0.4)",720,24,2,1,0,6,16590.0,1,0,2,4264.0
158,2,0.5,"(0.1, 0.4)",720,24,3,1,0,6,21641.0,1,0,3,569.0
159,2,0.5,"(0.1, 0.4)",720,24,4,0,1,23,,1,0,44,9465.0
160,2,0.5,"(0.1, 0.4)",720,168,0,0,1,0,,1,0,0,6522.0
161,2,0.5,"(0.1, 0.4)",720,168,1,0,1,0,,1,0,0,9104.0
162,2,0.5,"(0.1, 0.4)",720,168,2,0,1,0,,1,0,0,4480.0
163,2,0.5,"(0.1, 0.4)",720,168,3,0,1,0,,1,0,0,6425.0
164,2,0.5,"(0.1, 0.4)",720,168,4,0,1,1,,1,0,5,11769.0
165,2,0.5,"(0.1, 0.4)",2160,24,0,1,0,0,14485.0,1,0,0,3978.0
166,2,0.5,"(0.1, 0.4)",2160,24,1,1,0,0,13615.0,1,0,0,19424.0
167,2,0.5,"(0.1, 0.4)",2160,24,2,1,0,0,1518.0,1,0,0,4240.0
168,2,0.5,"(0.1, 0.4)",2160,24,3,1,0,2,14417.0,1,0,0,20105.0
169,2,0.5,"(0.1, 0.4)",2160,24,4,1,0,10,5152.0,1,0,44,18993.0
170,2,0.5,"(0.1, 0.4)",2160,168,0,1,0,0,14725.0,1,0,0,20466.0
171,2,0.5,"(0.1, 0.4)",2160,168,1,1,0,0,14023.0,1,0,0,21200.0
172,2,0.5,"(0.1, 0.4)",2160,168,2,1,0,0,1782.0,1,0,0,4984.0
173,2,0.5,"(0.1, 0.4)",2160,168,3,1,0,0,14657.0,1,0,0,20369.0
174,2,0.5,"(0.1, 0.4)",2160,168,4,1,0,1,8824.0,1,0,5,19497.0
175,2,0.5,"(0.1, 0.4)",2160,720,0,1,0,0,15325.0,1,0,0,21234.0
176,2,0.5,"(0.1, 0.4)",2160,720,1,1,0,0,14791.0,1,0,0,21920.0
177,2,0.5,"(0.1, 0.4)",2160,720,2,1,0,0,2622.0,1,0,0,5872.0
178,2,0.5,"(0.1, 0.4)",2160,720,3,1,0,0,15257.0,1,0,0,20417.0
179,2,0.5,"(0.1, 0.4)",2160,720,4,1,0,0,9664.0,0,1,2,
180,2,0.75,"(0.1, 0.4)",168,24,0,1,0,0,10189.0,1,0,3,3642.0
181,2,0.75,"(0.1, 0.4)",168,24,1,1,0,0,8431.0,1,0,3,10040.0
182,2,0.75,"(0.1, 0.4)",168,24,2,1,0,0,3558.0,1,0,3,5224.0
183,2,0.75,"(0.1, 0.4)",168,24,3,1,0,0,9569.0,1,0,3,3545.0
184,2,0.75,"(0.1, 0.4)",168,24,4,1,0,0,7264.0,1,0,3,5457.0
185,2,0.75,"(0.1, 0.4)",720,24,0,1,0,6,12637.0,1,0,3,690.0
186,2,0.75,"(0.1, 0.4)",720,24,1,1,0,3,14935.0,1,0,2,8840.0
187,2,0.75,"(0.1, 0.4)",720,24,2,1,0,4,3630.0,1,0,2,3688.0
188,2,0.75,"(0.1, 0.4)",720,24,3,1,0,6,12545.0,1,0,3,569.0
189,2,0.75,"(0.1, 0.4)",720,24,4,1,0,23,10168.0,1,0,44,8937.0
190,2,0.75,"(0.1, 0.4)",720,168,0,1,0,0,12877.0,1,0,0,2994.0
191,2,0.75,"(0.1, 0.4)",720,168,1,1,0,0,15199.0,1,0,0,9104.0
192,2,0.75,"(0.1, 0.4)",720,168,2,1,0,0,3798.0,1,0,0,4144.0
193,2,0.75,"(0.1, 0.4)",720,168,3,1,0,0,12809.0,1,0,0,6425.0
194,2,0.75,"(0.1, 0.4)",720,168,4,1,0,1,10336.0,1,0,5,9081.0
